ID;INVOICENO;DATE_;CUSTOMERID;NAMESURNAME;CUSTOMERGENDER;CUSTOMERBIRTHDATE;ITEMCODE;ITEMNAME;UNITPRICE;BRAND;CATEGORY1;CATEGORY2;CATEGORY3;AMOUNT;PRICE;TOTALPRICE;REGION;CITY;TOWN;DISTRICT;ADDRESSTEXT;BARCODEDATE;INVOICEDATE
528;29092022-000122;2022-09-29 08:52:10.753;3330;Niyazi Bıçakçı;E;1995-11-26;000035;BİBER SALÇASI CAM ACI 550GR;39,6;MARKA-200;GIDA;HAZIR YEMEKLER;SALÇA;3;30,9;92,7;Karadeniz;Trabzon;AKÇAABAT;DERECİK-MERKEZ MAH.;DERECİK-MERKEZ MAH.GÜNEY SOKAK NO:694 73622 AKÇAABAT/TRABZON;2022-09-29 08:52:28.343;2022-09-29 08:53:22.743
529;29092022-000122;2022-09-29 08:52:10.753;3330;Niyazi Bıçakçı;E;1995-11-26;000482;MUTFAK SPREY 750ML.;47,6;MARKA-47;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;MUTFAK BANYO TEMİZLEYİCİ;4;39,02;156,08;Karadeniz;Trabzon;AKÇAABAT;DERECİK-MERKEZ MAH.;DERECİK-MERKEZ MAH.GÜNEY SOKAK NO:694 73622 AKÇAABAT/TRABZON;2022-09-29 08:52:29.677;2022-09-29 08:53:22.743
530;29092022-000122;2022-09-29 08:52:10.753;3330;Niyazi Bıçakçı;E;1995-11-26;000024;8 KEK ÇİKOLATA+MÜZ 50GR;4;MARKA-210;GIDA;BÜSKİVİ ÇEREZ;KEK;1;4,18;4,18;Karadeniz;Trabzon;AKÇAABAT;DERECİK-MERKEZ MAH.;DERECİK-MERKEZ MAH.GÜNEY SOKAK NO:694 73622 AKÇAABAT/TRABZON;2022-09-29 08:52:33.667;2022-09-29 08:53:22.743
531;29092022-000122;2022-09-29 08:52:10.753;3330;Niyazi Bıçakçı;E;1995-11-26;000997;RENKLİ 4 LT COLOR;103,6;MARKA-165;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;ÇAMAŞIR RENK KORUYUCU;2;100,64;201,28;Karadeniz;Trabzon;AKÇAABAT;DERECİK-MERKEZ MAH.;DERECİK-MERKEZ MAH.GÜNEY SOKAK NO:694 73622 AKÇAABAT/TRABZON;2022-09-29 08:52:46.663;2022-09-29 08:53:22.743
532;29092022-000122;2022-09-29 08:52:10.753;3330;Niyazi Bıçakçı;E;1995-11-26;001104;BEBE BİSKÜVİSİ 150 GR;7,92;MARKA-102;BEBEK;HAZIR YEMEK MAMA;BEBEK BİSKÜVİLERİ;3;10;30;Karadeniz;Trabzon;AKÇAABAT;DERECİK-MERKEZ MAH.;DERECİK-MERKEZ MAH.GÜNEY SOKAK NO:694 73622 AKÇAABAT/TRABZON;2022-09-29 08:52:52.787;2022-09-29 08:53:22.743
533;29092022-000122;2022-09-29 08:52:10.753;3330;Niyazi Bıçakçı;E;1995-11-26;001064;FIRINDA HELVA 250GR;47,6;MARKA-129;SÜT KAHVALTILIK;KAHVALTILIK;HELVA;1;42,62;42,62;Karadeniz;Trabzon;AKÇAABAT;DERECİK-MERKEZ MAH.;DERECİK-MERKEZ MAH.GÜNEY SOKAK NO:694 73622 AKÇAABAT/TRABZON;2022-09-29 08:52:58.840;2022-09-29 08:53:22.743
534;02102022-000123;2022-10-02 08:46:24.750;2447;Rümeysa Karslı;K;1973-03-04;000518;SIVI COLOR 2700ML;183,2;MARKA-151;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;SIVI JEL DETERJAN;3;199,89;599,67;İç Anadolu;Yozgat;SORGUN;YENİ MAH.;YENİ MAH.317. SOKAK NO:816 114765 SORGUN/YOZGAT;2022-10-02 08:46:35.757;2022-10-02 08:47:06.360
535;02102022-000123;2022-10-02 08:46:24.750;2447;Rümeysa Karslı;K;1973-03-04;001249;DANA BİFTEK;247,2;MARKA-120;ET TAVUK;KIRMIZI ET;DANA;4;199,26;797,04;İç Anadolu;Yozgat;SORGUN;YENİ MAH.;YENİ MAH.317. SOKAK NO:816 114765 SORGUN/YOZGAT;2022-10-02 08:46:37.833;2022-10-02 08:47:06.360
536;02102022-000123;2022-10-02 08:46:24.750;2447;Rümeysa Karslı;K;1973-03-04;000515;KREM 150 ML KAVANOZ;46;MARKA-69;KOZMETİK;VUCUT EL BAKIMI;KREMLER;4;44,62;178,48;İç Anadolu;Yozgat;SORGUN;YENİ MAH.;YENİ MAH.317. SOKAK NO:816 114765 SORGUN/YOZGAT;2022-10-02 08:46:46.103;2022-10-02 08:47:06.360
537;01082022-000124;2022-08-01 08:46:16.840;6429;Fatma Ustalar;K;1960-08-20;000221;600 ML ŞAMPUAN RENK KORUYUCU;79,2;MARKA-158;KOZMETİK;SAÇ BAKIM;ŞAMPUANLAR;1;77,56;77,56;Ege;Balıkesir;SINDIRGI;CAMİKEBİR MAH.;CAMİKEBİR MAH.AÇELYA SOKAK NO:511 84234 SINDIRGI/BALIKESİR;2022-08-01 08:46:39.400;2022-08-01 08:47:17.430
538;01082022-000124;2022-08-01 08:46:16.840;6429;Fatma Ustalar;K;1960-08-20;000133;M.SUYU 200 ML VİŞNE;6;MARKA-210;İÇECEK;GAZSIZ İÇECEK;MEYVE SUYU;4;7,65;30,6;Ege;Balıkesir;SINDIRGI;CAMİKEBİR MAH.;CAMİKEBİR MAH.AÇELYA SOKAK NO:511 84234 SINDIRGI/BALIKESİR;2022-08-01 08:46:53.133;2022-08-01 08:47:17.430
539;01082022-000124;2022-08-01 08:46:16.840;6429;Fatma Ustalar;K;1960-08-20;000927;KREM DEO 50ML;76;MARKA-61;KOZMETİK;MAKYAJ MALZEMELERİ;AĞDA;1;99,84;99,84;Ege;Balıkesir;SINDIRGI;CAMİKEBİR MAH.;CAMİKEBİR MAH.AÇELYA SOKAK NO:511 84234 SINDIRGI/BALIKESİR;2022-08-01 08:47:06.730;2022-08-01 08:47:17.430
540;01082022-000124;2022-08-01 08:46:16.840;6429;Fatma Ustalar;K;1960-08-20;000180;KELEBEK 500GR;8,8;MARKA-210;GIDA;BAKLİYAT-MAKARNA;"MAKARNA ";2;9,33;18,66;Ege;Balıkesir;SINDIRGI;CAMİKEBİR MAH.;CAMİKEBİR MAH.AÇELYA SOKAK NO:511 84234 SINDIRGI/BALIKESİR;2022-08-01 08:47:09.713;2022-08-01 08:47:17.430
541;22052022-000125;2022-05-22 08:42:41.793;1185;Serdar Soyer;E;1998-04-11;000528;SAKIZ ÇİLEK 33 GR;15,6;MARKA-217;GIDA;SAKIZ SEKERLEME;SAKIZ;1;19,82;19,82;Akdeniz;Mersin;AYDINCIK/İÇEL;CUMHURİYET MAH.;CUMHURİYET MAH.TÜYSÜZOĞLU SOKAK NO:835 95160 AYDINCIK/İÇEL/MERSİN;2022-05-22 08:42:50.390;2022-05-22 08:43:10.313
542;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;000737;177 ÇOK AMAÇLI TARAK;31,2;MARKA-22;KOZMETİK;MAKYAJ MALZEMELERİ;SAÇ FIRÇASI;4;41,65;166,6;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:50:45.077;2022-08-10 08:51:42.080
543;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;000308;SUCUK KANGAL 250GR.;103,2;MARKA-167;ET TAVUK;ET ŞARKÜTERİ;SUCUK;3;134,71;404,13;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:50:47.957;2022-08-10 08:51:42.080
544;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;000517;KABAK TATLISI 240GR;31,6;MARKA-44;GIDA;UNLU MAMÜLLER;TOZ TATLILAR;1;24,01;24,01;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:50:51.357;2022-08-10 08:51:42.080
545;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;000192;KEK MOZAİK 150GR;8;MARKA-102;GIDA;BÜSKİVİ ÇEREZ;KEK;2;7,81;15,62;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:50:56.867;2022-08-10 08:51:42.080
546;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;000739;4LU MUZLU PUDİNG;31,6;MARKA-194;SÜT KAHVALTILIK;SÜTLÜ TATLILAR DONDURMA;SÜTLÜ TATLILAR;1;35,14;35,14;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:50:59.543;2022-08-10 08:51:42.080
547;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;001153;BEBEK BİSKÜVİ 800 GR POŞETLİ;50;MARKA-82;BEBEK;HAZIR YEMEK MAMA;BEBEK BİSKÜVİLERİ;2;47,1;94,2;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:51:14.267;2022-08-10 08:51:42.080
548;10082022-000126;2022-08-10 08:50:36.813;8910;Meral Özyürek;K;1980-03-22;000848;CİPS  MİX SÜPER BOY;22;MARKA-94;GIDA;BÜSKİVİ ÇEREZ;CİPS;2;27,74;55,48;Ege;İzmir;KONAK;ZAFERTEPE MAH.;ZAFERTEPE MAH.596/1 SOKAK NO:164 96736 KONAK/İZMİR;2022-08-10 08:51:23.683;2022-08-10 08:51:42.080
549;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;000208;2Lİ KALEM PİL AA;29,2;MARKA-71;EV;ELEKTRONİK;PİL;2;16,22;32,44;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:09.727;2022-04-02 08:51:06.140
550;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;001217;TOZ İÇECEK 170 GR KUŞBURNU;20;MARKA-99;İÇECEK;GAZSIZ İÇECEK;TOZ İÇECEK;3;27,46;82,38;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:15.437;2022-04-02 08:51:06.140
551;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;000698;ULTRA ÇAMAŞIR SUYU 750 ML KLASİK;15,92;MARKA-33;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;ÇAMAŞIR SULARI;3;13,65;40,95;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:26.517;2022-04-02 08:51:06.140
552;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;000623;ÇUBUK KEPEKLİ 250GR;37,2;MARKA-208;GIDA;UNLU MAMÜLLER;EKMEK;4;37,94;151,76;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:33.083;2022-04-02 08:51:06.140
553;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;001221;BEBEK ŞAMPUANI 750ML;76;MARKA-210;BEBEK;BEBEK BAKIM;BEBEK BAKIM ARAÇLARI;2;124,6;249,2;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:46.243;2022-04-02 08:51:06.140
554;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;000847;TON BALIĞI 3X80 GR;71,6;MARKA-210;GIDA;HAZIR YEMEKLER;TON BALIĞI;3;60,98;182,94;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:47.667;2022-04-02 08:51:06.140
555;02042022-000127;2022-04-02 08:49:59.863;2047;Ramazan Erdinç;E;1950-04-08;000630;DEO 150 ML;71,6;MARKA-149;KOZMETİK;PARFÜM DEODORANT;DEODORANT;1;84,68;84,68;Ege;Afyonkarahisar;DAZKIRI;YEŞİLYURT MAH.;YEŞİLYURT MAH.61. SOKAK NO:861 79492 DAZKIRI/AFYONKARAHİSAR;2022-04-02 08:50:53.183;2022-04-02 08:51:06.140
556;29012022-000128;2022-01-29 08:48:28.867;1735;Buğlem Civelek;K;1956-08-22;001125;KAHVALTILIK SOSİS SOYULMUŞ;58;MARKA-167;ET TAVUK;ET ŞARKÜTERİ;SOSİS;3;52,91;158,73;Marmara;İstanbul;ÜMRANİYE;ÇAMLIK MAH.;ÇAMLIK MAH.UD SOKAK NO:129 96253 ÜMRANİYE/İSTANBUL;2022-01-29 08:48:35.263;2022-01-29 08:49:15.497
557;29012022-000128;2022-01-29 08:48:28.867;1735;Buğlem Civelek;K;1956-08-22;000378;MATİK 1,5 KG COLOR;46;MARKA-204;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;TOZ DETERJAN;2;68,42;136,84;Marmara;İstanbul;ÜMRANİYE;ÇAMLIK MAH.;ÇAMLIK MAH.UD SOKAK NO:129 96253 ÜMRANİYE/İSTANBUL;2022-01-29 08:48:47.680;2022-01-29 08:49:15.497
558;29012022-000128;2022-01-29 08:48:28.867;1735;Buğlem Civelek;K;1956-08-22;001186;TÜL 500 GR.BEYAZLATICI VE PARLATICI;52;MARKA-33;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;ÇAMAŞIR KATKILARI;1;77,51;77,51;Marmara;İstanbul;ÜMRANİYE;ÇAMLIK MAH.;ÇAMLIK MAH.UD SOKAK NO:129 96253 ÜMRANİYE/İSTANBUL;2022-01-29 08:48:51.207;2022-01-29 08:49:15.497
559;29012022-000128;2022-01-29 08:48:28.867;1735;Buğlem Civelek;K;1956-08-22;000883;GECE GÜNDÜZ TABLET;66;MARKA-173;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;HAŞERE ÖLDÜRÜCÜ;2;72,78;145,56;Marmara;İstanbul;ÜMRANİYE;ÇAMLIK MAH.;ÇAMLIK MAH.UD SOKAK NO:129 96253 ÜMRANİYE/İSTANBUL;2022-01-29 08:48:53.733;2022-01-29 08:49:15.497
560;29012022-000128;2022-01-29 08:48:28.867;1735;Buğlem Civelek;K;1956-08-22;000866;PUDİNG  4*75 GR ÇİKOLATA MÜZ;25,2;MARKA-194;SÜT KAHVALTILIK;SÜTLÜ TATLILAR DONDURMA;SÜTLÜ TATLILAR;3;22,29;66,87;Marmara;İstanbul;ÜMRANİYE;ÇAMLIK MAH.;ÇAMLIK MAH.UD SOKAK NO:129 96253 ÜMRANİYE/İSTANBUL;2022-01-29 08:48:56.193;2022-01-29 08:49:15.497
561;29012022-000128;2022-01-29 08:48:28.867;1735;Buğlem Civelek;K;1956-08-22;000107;TRAŞ ALETİ;62;MARKA-96;KOZMETİK;TRAŞ MALZEMELERİ;TRAŞ ALETLERİ;2;66,95;133,9;Marmara;İstanbul;ÜMRANİYE;ÇAMLIK MAH.;ÇAMLIK MAH.UD SOKAK NO:129 96253 ÜMRANİYE/İSTANBUL;2022-01-29 08:49:09.473;2022-01-29 08:49:15.497
562;20032022-000129;2022-03-20 08:47:55.913;6033;Tülay Sarper;K;1974-03-01;000690;AĞIZ GARGARASI 500 ML PORTAKAL;135,2;MARKA-135;KOZMETİK;AĞIZ BAKIM;AĞIZ SULARI;3;163,36;490,08;Akdeniz;Adana;SARIÇAM;GÜLTEPE MAH.;GÜLTEPE MAH.708. SOKAK NO:399 118900 SARIÇAM/ADANA;2022-03-20 08:48:12.427;2022-03-20 08:49:21.250
563;20032022-000129;2022-03-20 08:47:55.913;6033;Tülay Sarper;K;1974-03-01;000883;GECE GÜNDÜZ TABLET;66;MARKA-173;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;HAŞERE ÖLDÜRÜCÜ;2;59,68;119,36;Akdeniz;Adana;SARIÇAM;GÜLTEPE MAH.;GÜLTEPE MAH.708. SOKAK NO:399 118900 SARIÇAM/ADANA;2022-03-20 08:48:17.230;2022-03-20 08:49:21.250
564;20032022-000129;2022-03-20 08:47:55.913;6033;Tülay Sarper;K;1974-03-01;000339;PLASTİK KAŞIK 10 ADET;4;MARKA-03;EV;MUTFAK EŞYA GEREÇLERİ;MUTFAK SARF MALZEMESİ;2;3,82;7,64;Akdeniz;Adana;SARIÇAM;GÜLTEPE MAH.;GÜLTEPE MAH.708. SOKAK NO:399 118900 SARIÇAM/ADANA;2022-03-20 08:48:19.177;2022-03-20 08:49:21.250
565;20032022-000129;2022-03-20 08:47:55.913;6033;Tülay Sarper;K;1974-03-01;001318;DÖNER 300 GR.;79,2;MARKA-120;ET TAVUK;KIRMIZI ET;DANA;3;65,14;195,42;Akdeniz;Adana;SARIÇAM;GÜLTEPE MAH.;GÜLTEPE MAH.708. SOKAK NO:399 118900 SARIÇAM/ADANA;2022-03-20 08:48:32.763;2022-03-20 08:49:21.250
566;20032022-000129;2022-03-20 08:47:55.913;6033;Tülay Sarper;K;1974-03-01;000994;EDT+DEO GİFT SET BLACK;292;MARKA-105;KOZMETİK;PARFÜM DEODORANT;PARFÜM;1;278,75;278,75;Akdeniz;Adana;SARIÇAM;GÜLTEPE MAH.;GÜLTEPE MAH.708. SOKAK NO:399 118900 SARIÇAM/ADANA;2022-03-20 08:48:44.070;2022-03-20 08:49:21.250
567;20032022-000129;2022-03-20 08:47:55.913;6033;Tülay Sarper;K;1974-03-01;001280;LEKE ÇIKARICI 1 LT;62,8;MARKA-68;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;LEKE ÇIKARICI;1;77,12;77,12;Akdeniz;Adana;SARIÇAM;GÜLTEPE MAH.;GÜLTEPE MAH.708. SOKAK NO:399 118900 SARIÇAM/ADANA;2022-03-20 08:48:58.373;2022-03-20 08:49:21.250
568;30072022-000130;2022-07-30 08:47:07.913;7129;Gülşen Aykurt;K;1976-04-21;000174;ÇORBA MERCİMEK;7,6;MARKA-210;GIDA;CORBA BULYON;CORBALAR;3;8,59;25,77;Akdeniz;Burdur;ALTINYAYLA/BURDUR;YENİ MAH.;YENİ MAH.YILMAZ SOKAK NO:48 85693 ALTINYAYLA/BURDUR/BURDUR;2022-07-30 08:47:15.963;2022-07-30 08:48:07.897
569;30072022-000130;2022-07-30 08:47:07.913;7129;Gülşen Aykurt;K;1976-04-21;001005;KOLONYA 400ML CAM ŞİŞE;76;MARKA-182;KOZMETİK;PARFÜM DEODORANT;KOLANYALAR;1;56,3;56,3;Akdeniz;Burdur;ALTINYAYLA/BURDUR;YENİ MAH.;YENİ MAH.YILMAZ SOKAK NO:48 85693 ALTINYAYLA/BURDUR/BURDUR;2022-07-30 08:47:29.430;2022-07-30 08:48:07.897
570;30072022-000130;2022-07-30 08:47:07.913;7129;Gülşen Aykurt;K;1976-04-21;000385;SIVI DETERJAN 2 LT;186,8;MARKA-57;BEBEK;BEBEK BAKIM;BEBEK BAKIM MALZEMELERİ;1;210,35;210,35;Akdeniz;Burdur;ALTINYAYLA/BURDUR;YENİ MAH.;YENİ MAH.YILMAZ SOKAK NO:48 85693 ALTINYAYLA/BURDUR/BURDUR;2022-07-30 08:47:41.197;2022-07-30 08:48:07.897
571;30072022-000130;2022-07-30 08:47:07.913;7129;Gülşen Aykurt;K;1976-04-21;000848;CİPS  MİX SÜPER BOY;22;MARKA-94;GIDA;BÜSKİVİ ÇEREZ;CİPS;2;25,7;51,4;Akdeniz;Burdur;ALTINYAYLA/BURDUR;YENİ MAH.;YENİ MAH.YILMAZ SOKAK NO:48 85693 ALTINYAYLA/BURDUR/BURDUR;2022-07-30 08:47:49.013;2022-07-30 08:48:07.897
572;22072022-000131;2022-07-22 08:47:13.957;8464;Ekrem Özden;E;1992-02-08;001229;MİKROFİBER TELESKOPİK MOP;119,2;MARKA-215;DETERJAN TEMİZLİK;EV TEMİZLİK GEREÇLERİ;TEMİZLİK SETİ;2;153,27;306,54;Akdeniz;Adana;SEYHAN;KAVAKLI MAH.;KAVAKLI MAH.100025. SOKAK NO:804 78081 SEYHAN/ADANA;2022-07-22 08:47:23.037;2022-07-22 08:48:21.787
573;22072022-000131;2022-07-22 08:47:13.957;8464;Ekrem Özden;E;1992-02-08;000200;MANTI 500 GR.;12,8;MARKA-159;GIDA;BAKLİYAT-MAKARNA;"MAKARNA ";4;12,23;48,92;Akdeniz;Adana;SEYHAN;KAVAKLI MAH.;KAVAKLI MAH.100025. SOKAK NO:804 78081 SEYHAN/ADANA;2022-07-22 08:47:36.963;2022-07-22 08:48:21.787
574;22072022-000131;2022-07-22 08:47:13.957;8464;Ekrem Özden;E;1992-02-08;000545;DİŞ FIRÇASI FRESH MEDIUM;44;MARKA-51;KOZMETİK;AĞIZ BAKIM;DİŞ FIRÇASI;2;49,03;98,06;Akdeniz;Adana;SEYHAN;KAVAKLI MAH.;KAVAKLI MAH.100025. SOKAK NO:804 78081 SEYHAN/ADANA;2022-07-22 08:47:51.960;2022-07-22 08:48:21.787
575;22072022-000131;2022-07-22 08:47:13.957;8464;Ekrem Özden;E;1992-02-08;001175;ACISSO 50 ML;38;MARKA-125;GIDA;TUZ BAHARAT;HARÇ;1;32,42;32,42;Akdeniz;Adana;SEYHAN;KAVAKLI MAH.;KAVAKLI MAH.100025. SOKAK NO:804 78081 SEYHAN/ADANA;2022-07-22 08:48:05.917;2022-07-22 08:48:21.787
576;12042022-000132;2022-04-12 08:43:32.953;9022;Raziye Kandemir;K;1974-06-23;000236;WC 2Lİ TEM.KÜPÜ 100 ML;42,8;MARKA-37;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;TUVALET TEMİZLEYİCİ;1;31,59;31,59;Akdeniz;Hatay;İSKENDERUN;GÖZCÜLER-AKDENİZ MAH.;GÖZCÜLER-AKDENİZ MAH.192. SOKAK NO:237 122231 İSKENDERUN/HATAY;2022-04-12 08:43:47.257;2022-04-12 08:44:06.040
577;25072022-000133;2022-07-25 08:43:48.977;6928;Utku Özden;E;1971-12-23;001232;CAM TEMİZLEYİCİ 500 ML;31,6;MARKA-49;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;CAM PARLAK YÜZEY;2;27,22;54,44;Karadeniz;Trabzon;YOMRA;KAŞÜSTÜ-FEVZİÇAKMAK MAH.;KAŞÜSTÜ-FEVZİÇAKMAK MAH.YEŞİLYURT CADDESİ SOKAK NO:432 112596 YOMRA/TRABZON;2022-07-25 08:43:56.057;2022-07-25 08:44:09.000
578;25072022-000133;2022-07-25 08:43:48.977;6928;Utku Özden;E;1971-12-23;001054;KAKAO 25 GR.-606-;6;MARKA-210;GIDA;UNLU MAMÜLLER;PASTA MALZEMELERİ;4;6,6;26,4;Karadeniz;Trabzon;YOMRA;KAŞÜSTÜ-FEVZİÇAKMAK MAH.;KAŞÜSTÜ-FEVZİÇAKMAK MAH.YEŞİLYURT CADDESİ SOKAK NO:432 112596 YOMRA/TRABZON;2022-07-25 08:43:58.630;2022-07-25 08:44:09.000
579;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;000472;FİLM ŞERİTLİ ÇERÇEVE KÜÇÜK;21,2;MARKA-220;EV;MUTFAK EŞYA GEREÇLERİ;CAM EL ALETLERİ;2;14,3;28,6;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:53:41.150;2022-05-09 08:55:17.977
580;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;000481;700ML SAÇ KREMİ SAÇ DÖKÜLMELERİNE KARŞI;71,6;MARKA-77;KOZMETİK;SAÇ BAKIM;ŞAMPUAN SONRASI ÜRÜNLER;4;79,46;317,84;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:53:50.647;2022-05-09 08:55:17.977
581;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;000005;BİSKÜVİ 175 GR.-111-;10;MARKA-210;GIDA;BÜSKİVİ ÇEREZ;BÜSKİVİ;1;10,28;10,28;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:54:02.730;2022-05-09 08:55:17.977
582;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;000318;ÇAY 1000 GR;63,2;MARKA-02;İÇECEK;ÇAY KAHVE;ÇAY;2;81,74;163,48;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:54:16.387;2022-05-09 08:55:17.977
583;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;000700;SIVI DET.2 LT.RENKLİ;63,6;MARKA-33;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;SIVI JEL DETERJAN;2;93,2;186,4;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:54:30.623;2022-05-09 08:55:17.977
584;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;001280;LEKE ÇIKARICI 1 LT;62,8;MARKA-68;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;LEKE ÇIKARICI;3;80,58;241,74;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:54:40.007;2022-05-09 08:55:17.977
585;09052022-000134;2022-05-09 08:53:26.040;716;"Melike Kubat ";K;1994-12-08;000603;ANINDA ONAR.BAKIM COLOR 300ML;119,6;MARKA-78;KOZMETİK;SAÇ BAKIM;SEÇ ŞEKİLLENDİRİCİ;4;212,31;849,24;Marmara;İstanbul;BÜYÜKÇEKMECE;KUMBURGAZ MERKEZ MAH.;KUMBURGAZ MERKEZ MAH.İSİMSİZ_313 SOKAK NO:286 96345 BÜYÜKÇEKMECE/İSTANBUL;2022-05-09 08:54:45.087;2022-05-09 08:55:17.977
